sentence,error_0,error_1,error_2,error_3,error_4
acheñ ñethpa' amach es atsoteno,acheñ ethpa' mach es atsoteno,achelñ ñethlpa' amach es tsoteno,wcheñ ñethpxa' amafch ss atsoteno,qacheñ ñethpw' amah es atsotteno,cheñ lethpa' amach es atsoteno
acheñ ñeth rrorranets womenkokmañen,aceñ ñeh rrorrxanets womenkokmañen,cheñ ñeyh rrorranets womenkokmañen,ache ñeth rorranets womenkojmañen,achheñ ñeth rrorranets womenkokmqañen,acheñ eth rroreanets wmenkokmañen
acheñ pa'socheñ chollsoneshapa' nanakcha' sewa'poets,acheñ pa'socheñ chollsoneshapa' nanakchsa' sewa'ppoets,ache pa'sochdñ chollsoneshapa' nanakcha' sewa'poets,acheñ pa'scheñ chollsoneshapa' nanakcha' sewa'poets,acheñ p'socheñ chollsoneshapa' nanakcha' sew'poets,acheñ pa'socheñ chollsoneshapa' nanakcha' sewa'poets
acheñ poeñanesha' ñeth shonte' mérerra ok allemeña anetso'mar,acheñ poeñanesha' eth shonte' jmérerra ok allemeña netso'mar,achwñ poeñanesha' ñeeth shonte' mérerra ok allemeñz anetso'mar,acheñ poeñanesha' ñetn shonte' mérerra oj llemeña anstso'mar,axheñ poeññanesha' ñeth shont' mérera k allemeña antso'mar,acheñ poeñanesha' ñeth shonte' mérerra ok llemeña anetso'mar
acheñ poesheñarr yamo'ts,acheñ poesheñarr yamo'ts,acgheñ poesheñxrr yamo'ts,afcheñ poesheñarr yamo'ts,acheñ poesheñarr ymo'ts,acheñ poesheñadr yamo'ts
achetalle nanak ayerparethaph,achetalle naanak ayeroparethaph,achetaple nanak auerparethaph,achetalle nanak ayerparethaph,achetalle nanak ayerparethaph,achetale nanak aywerparethaph
achetall nanak amoeraña nanak a'maxhatañ alllowen poechoyoresha' e'ñe atthekma morrentweña tharraña ñerra'm yathpare'chpa' o'ch asllome'chey atthoch e'ñe kowen yame'ñya allempopa' e'ñech kowen yepo'n,achetall nanak wamoeraña nanak a'maxhatañ alplowen poechyoresha' e'ñe tthekma morrentweñs thzrraña ñerra'm yathpare'chpa' o'ch asllome'chey atthoch e'ñe kowen yame'ñya allempopa' e'ñech kowen yepo'n,achetall janak amoerapa nanak a'maxhatañ allplowen poechoyoresha' e'ñe atthekma morrentweña tharraña ñerra'm yathpare'chpa' o'ch asllome'chey atthoch e'ñe kowen yam'ñya allempopa' e'ñech mkowen yepo'n,achetall nsnak amoeraña nanak a'maxhatañ allowen poevhoyoresha' e'ñe atthekmsa morrentweña tharraña perra'm yahpare'chpa' o'ch asllome'che atthoch 'ñe kowen yame'ñya alllempopa' e'ñech oowen yepo'n,achetall nzanak amoeraña nanak a'mmaxhatañ alllowen poechoyoresha' e'ñe atthekma morrentweñ tharrña ñdrra'm yathpare'cghpa' o'ch aslloome'chey atthoch e'e kowen yakme'ñya allempopa' e'ñech kowren yepo'n,achetsall nana qamoeraña anak a'maxbatañ alllwen poechoyoresha' 'ñe tthekma morrentweña tharraña ñerra'm yathpare'chpa' o'c asllome'chey atthoch e'ñe kiwen yame'ñya allempop' e'ñech kowdn yepo'n
achethóll achethóll atarr petsomoen kokllomh yekwamperepach atsompapo ñethcha' yetsomyerr tsapathóñeth parasyos,achethóll achethóll atar oetsomoen kookllomh yekwampefepach ahsompapo ñethcha' yetsommyerr tsapathóñeth pparasyos,axhethóll achethóll atsarr petsomen kokllomh ykwamperepach atsompapo ñethcha' yetsomyerr tsapathóñet parasyos,achethóll achethóll atarr petsomoen mkokllomh yekwamperepach atsompapo ññethcha' yetsomyerr tsapathóñeth parasyos,achethóll achetgóll atwarr petsomon kokllomh yekwamperepacch atsompao ñethxcha' yetsomyerr tsapathóñeth parsyos,achetbhóll achethóll atarf petsojmoen kokllomh yekwampserepach atsompzpo ñethch' yesomyerr tsapathóñeth paasyos
achmaphñath,achmaphñat,afhmaphñath,achmaphñath,achnmaphñath,achmaphñath
achmaso'tame'tareth,achmaso'tame'tareth,achmaso'tame'tareth,qachmaso'tame'tareth,achmaso'tame'taret,achmaso'tame'tagreth
achmaso'tareth,achmaso'tareth,achmaso'tareth,achmaso'taeth,achmaso'tareth,achmaso'taretth
achña époet mashokeñpa' thekmo' mátaxha'tet allo'tsen mápoe' atarr alla keshpet,achpña époet mashlokeñpa' thkmo' mátaxha'tet allo'tsen mápe' atart allla kesbpet,achña époet mashokeñpa' thekmo' mátaxha'tet allo'tsen málpoe' atarf all kedhpet,achpña époet mashokeñpa' thekmp' mátaxha'tet allo'tsen mápoe' atarr ala keashpet,achña époet mashokeñpa' themo' mátaha'tet allo'htsen mápoe' atare alla keshpet,achña époet mashokeñpa' thekmo' mátaxha'tet allo'tsen máppoe' atafrr alla keshñpet
a'ch ñamha apá aññotenet poenaremh,a'ch ññamha apá zññotenet poeharemh,a'ch ñakmha apá zaññotenet poenaremh,a'ch ññamha apá aññotenet poenarejmh,a'fch ñamha apá qññotenet poenareemh,a'ch ñmha apá añpñotenet poenaremh
achñapa' awo' a'tap mápyo,achñapa' wo' a'tap mápyo,achñapa' awo' a'tap mápyo,achñapa' swo' a'gtap mápyio,achñapa' xawo' a'tap mápo,achñaps' awo' a'tap mápyk
achñapa' awo' ello nanak a'ñmo'rterrerr ach,qachñapa' awlo' eolo nanak a'ñmo'rterrerr ach,achñapa' awo' ello nabnak a'ñmo'rtterrerr zch,achñapx' awpo' ello nanak a'ñko'rterrerr ach,achñapa' awo' elo anak a'ñmo'rterrrerr ach,zchñapa' aw' ello nanak a'ñmo'rterrerr axh
achñapa' awo'xho' awo' chetso époet mashokeñ awo' awanmoetthe' ñamha ochkaxhno,achñapa' aso'xho' awo' chtso époet mashokeñ awo' xawanmoetthe' ñamhq ochkaxhno,achñapa' aso'xho' wo' chetso époet mashokeñ aewo' awanmoetthe' ñamha ochkaxhno,achñapa' awo'xho' awo' chetsso épot mashokeñ awo' awanmoetthe' ñamha ochkaxhno,achlapa' awo'xho' awo' chetso époet mashokeñ awo' awanmkoetthe' ñama ochkaxhno,acnñapa' awo'xho' awo' cheetso époet mashokeñ aswo' awanmoetthe' ñmha ochkaxho
achñapa' machayothepa'toch ngangtaña pátherr ochek,xachñapa' nmachayothepa'toch ngangtña pátherr chek,achñapxa' machayothepa'toch ngangtañxa pátherr ochek,achñapa' machayothepa'tooch ngangfaña pátherr ochek,achñapa' machayothepa'toch nangtaña pátherr ocheik,achñapqa' machayothela'toch ngangtaña pátherr ofhek
achñapa' thekmo' kowe' entayepa'toch ma'yarrepa'to' awo' potan ochek,achñapa' theko' kowe' entayepa'tpoch ma'yarrepa'to' awo' potan ochek,achñapa' thekmo' kowr' entayepa'toch ma'yarrepa'to' wo' potan ochk,achñapa' thekmo' kose' entayepa'toch ma'yarrepa'to' awo' portan ochek,acbñapa' thekmo' kowe' entayepa'toch ma'yarrepa'to' ao' potan ochek,zachñapa' thekmo' kow' entayfepa'toch ma'yarrepa'to' awo' poan ocek
achnesha'ñapa' año'ch yexhátenan po'sñetholl ora ñeñth phayen koyanesha' pokollo atthoch ama asametarethterre,achnesha'ñapa' alo'ch yexháhtenan po'sñetholl ora ñeñth phwyen koyanesha' pokollo atthoxh ama asametarethterre,achnesha'ñapa' año'ch yexháteban po'sññetholl ora ñeñth phayfn koyanesha' pokollo aytthoch ama asametarethterre,achnesha'ñapa' año'ch yexhátenan pi'sñetholl ora ñeñt phzyen kkyanesha' pokollo atthofh ama asametarethterre,achnsha'ñapa' año'ch yexhátnan po'sñetholl ora ñeñth phayen kioyanesha' pokollo athhoch qama asametarethterre,achnesha'ñapa' año'ch yexhátenwan po'sñethol ora ñeñth phayen koyanesha' pomollo atthoch ama asanetarethterre
achnesha'ñapa' año'ch yexhátenan posñetholl ora ñeñth pha'yen koyanesha' pokolló atthoch amá asame'tarethterretó ñeñth oteney,achnesha'ñapa' año'ch yexhátnan posñetholl oera ñeñt pha'yen koyanesha' pokolló tthoch amá asame'tarethterretó leñth iteney,achnesha'ñapa' año'ch yexxhátenan posñethholl or ñeñth pha'yen koyanesha' pokolló atthovch amá asame'taregthterretó ñeñth kteney,achnesha'ñappa' año'ch yexhátenan posñetholl ora ñeñth pha'yen kñoyanesha' pokoolló atthoch amá asame'tarethterretó eñth oteneg,achnesha'ñapa' añio'ch yxhátenan posñstholl ora ñelth pha'hen kioyanesha' pokolló atthoc amá asame'tarethterretó ñeñth oeney,achnesha'ñañpa' año'cy yexhátenan posñethol ora ññth pha'yen koyanesha' pokololó athoch amá asame'tarrethterretó ñeñth oteney
achnesha' yexhataye'th penothollesha' apanesha' yexhataye'th asheñorrothollesha' apa ñamha ach épsheño'mare't yexhachete'th pakñe'thar asheñorrothollesha' ñamha penothollesha' attho eñótañtete'th añcha' orrenet poerets allothpa' añcha' kothape'chatenawet po'naneshare' allach es eñótenet allempo senet yexhateñtsopawo,achnrsha' yexhatqye'th penothollesha' apanesha' yxhataye'th asheñorrothollesha' apa ñamha ach épsheño'mare't yexhahete'th oakñe'thar asheñorrothollesha' ñaha penothollesha' aytho eñótañtete'th añcha' orenet perets allothpa' aññcha' kothape'fhatenawet po'naneshare' allqch es eñótenet allempo senet yexhateñtsopwo,achnsha' exhataye'th penothollesha' apanesha' yexhataye'th asheñorrothollesha' apa ñamha ach épsheño'mare't yexhachete't pakñe'thar asheñorrothollesha' ñambha penothollesha' attho eñótañtete'rth añch' orrenet poerets allothpa' añcjha' kothape'chatebnawet pk'naneshare' allach es eñótenet allemñpo senet yexhateñtsopawo,achnesha' yexhataye'th penothollesha' apanesha' yexhataye'h asheñorrothollesha' apa ñamha ach épsheño'mare't yexhachete'th pakñe'tjhar asheñorrothollesha' ñamha penothollesha' attho eñótañtee'th añha' orrenet pperets allothpa' añcha' kothape'catenawet po'naneshare' apllach s eñótenet allempo enet yexhateñtsopawo,achnesha' yexhahtaye'th penothollesha' apaneha' yexhataye'th asheñorrothollesha' apz ñamha ach épsheño'mare't yexhachetse'th pakñe'thae asheñorrothollesha' ñamha penothollesha' attho eñótañtfete'th añcha' orrenet poerrets llothpa' añcha' kothape'chatenawet po'naneshare' alach es eñótenet allempo senft yexhateñtsopawo,achnesua' yexhataye'th penothollesha' apanesha' yexhaaye'th asheñorrothollesha' ala ñaha aach épsheño'mar't yexhachete'tbh pakñe'thar asheñorrothillesha' amha penothollesha' atthlo reñótañtete'th añcha' orrenet poerets alloothpa' añcha' kothape'chatenawe po'naneshare' llach ee eñótenet apllempo sfnet yexhateñtsoopawo
ach nomo'nerr masheñ nopa'ñer ñeñth eñotatañ ñeñth epoet esesha' amapa' és,qch nomo'ner masheñ nopa'ñeer ñeñth eñotarañ ñeth epoeg eswesha' amapa' és,ach nomo'nerr masheñ noppa'ñer ñeñth eñotatxañ ñeñh epoet esesha' amapa' és,qach nomo'nerr mwsheñ nops'ñer ñeñth eñotatañ ñeñth epoet esesha' ammapa' éss,ach nomo'nerr kasheñ nopwa'ñer ñeñth eñotatañ ññth poet esesh' amapa' és,ach nomo'merr masyeñ nopa'ñer ñeñh eñohtatañ ñdeñth epioet esesha' mapa' éws
achokotma'tareth,achokotma'tareth,achokotma'tareth,achokotma'taretj,achokkotma'tareth,achokotma'tareth
achokraña etaphsaña,achlkraña etaphsaña,achokraña etaphsaña,achokrña etaphsaña,achokrapa etaphsña,achokraña etaphsaña
achome'tareth,achome'taretyh,achome'tareth,achpome'tareth,achome'tareth,achome'ttareth
achomhta'tareth,achomhta'tareth,achomhta'areth,achomhta'gareth,achomhta'tareth,achojmhta'tareth
achpa akrenan popoer ñamha,acha akrenzan popoer ñamha,achp akrenan opoer ñmha,achpa akrenan ppoer ñamha,chpa akenan popoer ñamha,acuhpa akrenan popor ñamhwa
achpa' alla o'chtatenana' chetso la chacra,ahpa' alla o'chtatenaa' vhetso ls chacra,axhpa' allq o'chtatenana' chsetso lla chaxra,achpa' allwa o'chtatenwna' cjetso la chacra,acha' alla o'chttenana' chetso a chacrwa,achpa' ala o'chtatenana' chetso la chaca
achpa' anman ñamha yamo'ts ñeth yemo'tene,chpa' anmzn ñzamha yamo'ts ñth yemo'tene,chpa' nman ñamhq yamo'ts ñeth yemo'tene,achpa' annman ñamha yamo'ts ñeth yemo'tene,achpa' anman lamha yamo'tes eth yemo'tene,achpa' anjman ñaha ywmo'ts ñethh yemo'tene
achpa' awerr ñorrakma,achpa' aderr ñorrakma,achpa' awerr ñorrakma,achpa' awerr ñorrakma,achpa' awerr ñorrakma,acgpa' awerr ñorrwakma
achpa' awo' pa'choyo,achpa' awo' pa'choyo,achpa' awo' pa'chyo,achpa' awñ' pa'choyo,achpa' awo' pa'choyo,achpa' awo' ña'choyo
achpa' ayatenana moésho'llpáto,achpa' ayatenana moésho'llpáto,achpa' ayateana moéso'llpáto,avchpa' ayatenana moésho'llpáto,achpa' ayateenana moésho'lpáto,acjhpa' agyatenana moésho'llpáto
achpa' campoenan poe'ñar ñetheñtsoparo,acghpa' campoenan poe'ñar ñetheñtsoparo,achpa' campoenan poe'ñr ñetheñtsoparo,achpa' campoenan poe'ñar ñetheñtsoparo,achpa' campoena poe'ñar ñetheñtsopqaro,acpa' campoenan poe'ñar ñetheñftsoparo
achpa' ellerro tsorrmhotata cabello,afchpa' ellerrpo tsorrmhottata cabello,achpa' ellerro rtsorrmhotata cabello,achpa' ellerro tsorrmhotata cabello,achpqa' ellerro tsorrmhotzta cqabello,achp' elerro tsrrmhotata canbello
achpa' moéchatse'tenan totana' esheksha' thekmach a'matse'twa,achpa' moéchatse'tenan tottana' esheksha' thekmach a'matse'twa,achpa' moéchatse'tenan totana' esheksha' thekmaach a'martse'twa,achp' moéchatse'tenan totansa' esheksha' thekmah a'mstse'twa,achpaa' moéchatse'tenan totaa' esheksha' thekmaach a'matse'tqwa,zachpa' moéchatse'tenan totana' rsheksha' thekmacch a'matse'twa
achpa' moéñoxho'tenan patollpar,achpa' moéñoxho'tenan patollpar,avchpa' moéñozxho'tenan patollpsar,ahpa' moéñoxho'tenan patollpar,zchpa' moéñoxno'tenan patollpar,achpa' moéñoxho'tenan patollpqar
achpa' nátenan atollep pa'me' káñthro,achpa' nátena atollep pa'me' káñthro,achpx' nátenan atollep pa'me' kápthro,achpa' nátenan atollep pa'me' káñthro,achpwa' nátenan atollep pa'me' káñthro,acha' nátenan atollep pa'me' káñtho
achpa' o'ch wapatan kañther semrerets tarramets pobhreth po'tópan ñamha o'ch wapatan koñeshom pesharr sherompetsa teropexh wapanrexh shekët therrothet cho'neph,achñpa' o'ch dwapatan kañther semrerets tarramets pobghreth po'tópabn ñamya o'ch wapatan koñeshom peshrr sherompetsa reropexh wpanrexh shekët therfrothet chlo'neph,achpa' o'ch wapatn kañthr semrerets tarramets pobhreth po'tópan ñamha o'ch wapata koñeshom pesharr sherompetsa teropexh wapandexh sheët therrotheg cho'neph,achña' o'ch wpatan ksñther emrerets tarramets pobhrth po'tópan ñamha o'ch wapatabn koñesho pesharr sherokmpetsa teropedh wapanrexh ehekët therrofthet cho'neph,achpa' o'ch wapaan kalther sekmrerets tarramets pobhreth plo'tópan ñamha o'ch waatan koñesyhom peshadrr shermpetsa teropexh wapanrexh shekët therrothet cho'neph,sachpa' o'cyh waapatan kather semrerets trramets pobhrdth po'yópan ñamha o'ch waptan koñesom pesharr sherompetsa terlopexh wapanrdexh shekët therriothet cho'neph
achpa' o'ch wapatan kañther somhphrerets tarramets pobhreth po'tópan ñamha o'ch wapatan koñeshom pesharr sherompetsa teropexh wapanrexh shekët therrothet cho'neph,achppa' o'ch wapatan kzañther somhphrerets tarramets pohreth po'tópxn ñamha o'fh wxapatan kopñeshom pesharr sherompetsa teropexh wapanrexh shekët therrothret co'neph,achpa' o'ch wapatan kañhher somhphrrerets tarramets pobhrweth po'tópan ñamha o'ch wapagan koñexshom pesharr sherokpetsa terpexh wapanrexh shekët therrothet cho'neph,sachpa' o'cu wapstan kañther somhphrerets tarrzmets pobhretgh po'tópan ñamha o'ch wapatxan koñeshom pesharr sherompetsa teropexh wapanrexh shekët therothet cho'neph,achpa' o'ch wapatan kañther somhphrerts tarramets pobhreth po'tópa ñamha o'ch wapataj koñeshiom pesharr sherompetsa teropexh waparexh shekët therfrothet cjho'neph,achpa' 'ch waatan kñther somhphrerets tarramets ppobhreth po'gópan ñamh o'ch wapatsan koñeshom peshzrr sherompetsa teropexh waanrexh shekët therrothet cho'bneph
achpa' otanet o'ch yexharaner eno' sa'ñema't akellkareth allempo o'ch seyapéch all paxharrtena,achpa' otanwt oo'ch yexharanner enñ' sa'ñema't akellkareth allempko o'ch seyapéch all paxhxrrtena,achpa' otane o'cj yexharaner eno' sa'ñema't akellkareth allempo o'ch syapéch zll paxharrtsena,ahpa' otanet o'ch yexharahner eno' sa'ñem't akeollkareth allempo o'ch zseyapéch all paxharrtenqa,achla' otxanet o'ch yexharane en' sa'ñema't akellkardth allempo 'ch seyapéc aoll paxharrtena,achp' otanet o'ch yexharane eno' sa'ñema't akellkarreth allempo o'ch seyapéch aoll paxharrtena
a'chpa' oten,a'chpa' oten,a'chpa' oten,a'fchpa' ten,a'chpa' oten,a'chpa' oten
achpa' oten,aachpa' otten,achpa' ote,achpa' otn,achpa' oten,achpsa' oten
achpa' pochkarpa' atthath chopeñen,achpa' pochkarpa' athath chopeñen,achpa' pochkarpa' atthath chopeñen,achpa' pochkarpa' atthath chopeñwn,achpa' pochkagrpa' atthath cuopeñen,achpa' pochkarpa' atthath chopsñen
achpa' thamoyenan mam chetso,acnpa' tnhamoyenan mam chetso,achpa' thamñoyenan nmam cuhetso,achpa' thamoyenabn mam chetso,achpa' thamoyenan mam vhetso,achpa' thamoyenan mam dhetso
achpa' thenan orroshe'sh,qchpa' thenan ordoshe'sh,achopa' thwnan orrosh'sh,acha' henan orroshe'h,achpa' thenan oroshe'sh,acpa' themnan orrodshe'sh
ach patherr anetsopa' all yexhena poesheñarr cheshatholl all pa'pakllathollo,ach patherr anrtsopa' qall yexhen poesheñarr cheshatholl zall pza'pakllathollo,ach atherr anetsopa' all yexhsena poeshñarr cheshathooll all pa'pakllathollo,ach patherr anetsopa' wall yexhea poesheñarr cheshatholl alll pa'pakllathollo,ch patherr anetsopa' apll hexhena poeqsheñarr chshatholl all pa'pakllathollo,ch ñatherr anesopa' alol yexhena poesheñarr cheeshatholl all pa'pakllathollo
achpa' tsorrenan poémok ematholl,acha' tsorrenan pémok ematholl,sachpa' tsorrean poémok ematholl,achpa' tsorreban poémok emathol,achpa' tsorerenan poémok emaholl,qachpa' tsorrenan poémok ematholl
achpa' wapore'tenan anarremh,achpa' wapor'tenan anarremh,achlpa' wapore'tenan anzarremh,acupa' wapore'tenan anardremh,achpa' wzpore'tenan anarremh,achpa' wapore'ytenan anarremh
achpa' xho a'bellen,achp' xo a'bellen,achp' xho a'bellen,achpa' xhpo a'bellren,achpa' xho a'bellen,chpa' zxho 'bellen
achpa' yenan ormets thowanaklle' tho'mas,achña' yean ormets ythowanaklle' th'mas,achpa' yenan omets tgowanaklle' tbo'mas,achpa' yenan ormets thowanaklle' tho'mas,achlpa' yenan ormeys thowanakle' th'mas,achpa' yenan ormets thowanaklle' tho'ms
ach tsomaten allcha poetareten,acnh tsomatrn allcha poetareten,wch tsomaten allcha poetareften,ach tsomaten allcha poetarten,ach tsomaten allcua poetareten,axh tsiomaten allcha poetaretten
ach yematenan pamotsesha,achh yematenan pamotsesha,ch yematena pamotsesa,ach yematenan pamotsesha,axch yematenan oamotsesha,ach yematenan pamotseaha
ach yepechanen añ waxhak,ch yepfechanen añ waxhaj,acg yepechanen añ waxhak,ach yepchanen ñ waxhak,xch yepechanen añ waxhak,ach yepechanen añ axhak
achyoteñets allempo norrtena o'ch poetaren,achyoteñets alldmpo norrtena o'dh poetaren,achyoteñets alempo norrtena o'ch poetare,achyoteñets allemñpo norrtena o'c poetaren,achyoteñets allmpo norrtena o'ch opoetaren,achyoteñetws alempo norrtena o'ch poetaren
achyoteñe'ts pépe' phamha napa nechen shonte esonthe,achyoteñe'tq pépe' phamha napa nechen shonte esonthe,achgoteñe'ts épe' phzmha apa nechen shinte esonthe,qachyoteñe'ts pépe' phamha naa necyen shonte esothe,achyoteñe's pépe' pamha napa nechen shone eqonthe,achyoteñe'ts pépe' phamha napa nechen shontde esonthe
agallme'ch,aallme'ch,agallme'ch,agallme'ch,agallme'ch,agallme'ch
agama'ten,agama'ten,wagama'ten,agama'yten,agama'tn,agam'ten
agape'ch,agalpe'ch,agwape'ch,agape'ch,agape'ch,agape'ch
agapna'ch,agapna'ch,agapna'cuh,wgapna'ch,agapnsa'ch,agapna'ch
agarrar algo achpa' orrampenan po'kkar,agwarrar algo achpa' orrampenan po'kmkar,agarar algo achpa' odrampenan po'kkar,agarrar ago achpa' orrampena po'kkar,agarrar lgo achpqa' orrampenan po'kkar,agarrar ago achpa' orgrampenan po'kkar
agarrma'ch,agxarrma'ch,agarrma'ch,aarrma'ch,agarrma'ch,agarrma'ch
ago'tasñatheñ ñeth nanak go'taso'tatsethpa' o' rromoen,ago'asñatheñ ñeth nanak go'taso'tatsethpa' o' rromoej,wgo'tasñatheñ pñeth nanak go'taso'tatsethp' o' rromoen,ago'tasñatheñ ñeth naak go'taso'tatsethpa' o' rromoen,ao'tasñatheñ ñeth nanak go'taso'tatsethpa' o' rromoen,ago'taspatheñ ñeth nanak go'tqaso'tatsethpa' i' rrooen
ago'tasñatheshe'mañ ñeth nanak go'taso'tatsethpa' o' serren,ago'tasñatheshe'mañ ñetgh nanajk go'taso'tatsethpa' o' serren,ago'tasñathehe'mañ ñeth nanak go'taso'tatsethpa' o' seren,ago'tasñatheshe'mañ ñth nahak go'taso'ftatsethpa' o' serren,ago'tasñatheshe'mañ ñsth nanak go'taso'tatsethpa' o' serrrn,ago'tasñatheshe'mañ ñeth nanak go'taso'tatethpa' o' xerren
akan poka'ñoth allo enán thokóth ñamha pa'namen oth,akn pka'ñoth alllo snán thokóth ñamha pa'namen oh,akan poka'ñoth aplo nán thokótyh ñamha pa'namen otb,akqn poka'ñoth allo enán thokóth ñamha pa'nmen oth,aksan poka'ñoth alpo eán thokóth ñakha pa'namen loth,akan poka'ñoth allo enán thokóth ñamha pa'hnamen oth
akan poka'ñoth allo enenan thokoth ñamha pa'namen oth,akan poka'ñoth allo nenan thñkoth ñamja pw'namen oth,aan poka'ñoth llo senenan tghokoth ñamhxa pa'namen orh,aan poka'ñkoth alo enenan thpkoth ñamha pa'namen ith,akan poka'ñoth alll enensn thokoth ñamha pa'namen oth,akan poka'ñoth allo enejan thokioth ñmha pa'nmen oth
akayabe akayabe moetsamoenano koshthe ñétho'maroña attho osecharetamoen époet pomhreneñ amach attha phokshatsto ñanem ñerra'm amá pechena' ñéth pemnen,akyabe akqyabe moetsamoenano koshhe ñétho'maroña agttho osecharetamoen épiet pomhreneñ amach attha phkokshatsto ñanem ñerra'm amá pechena' ñéth pemmnen,zakayabe akayabwe moetsamoenano koshthe ñétho'mzaroña attho osecharetamoen époet pombhreneñ amacu attha phokshatsto ñanem ñerrwa'm amá pecena' ñétth pemnen,akqayabe akayavbe moetsamoeano kishthe ñétho'maroña attuho osechaetamoen époet pomjreneñ amach ttha phokxhatsto ññanem ñerra'm amá pchena' ñéth opemnen,amayabe akwyabe moetsamoenano koshthe ñétho'maroña atrho oseharetamoen époet pomhreneñ amach ttha phokshatsto ñanem ñerra'm amá pechena' ñéth pemnen,akayagbe akayabe moetsamoenano koshthe ñétho'maroña atho oecharetamoen éoet pomhreneñ amach attha phokshatxto ññanem perra'm amá pechena' ñéth pwmnen
akayabee awo' shora'nem patso e'ñepa'to'ch kankaphthe' tsácheph awepa'to' alla rromos,akayabee awo' shora'nm ñatso e'ñepa'to'ch kankaphthe' tsácheph adwepa'to' alla rromos,akayabee awo' shofa'nem patso e'ñepa'to'ch kankaphthe' tsáxcheph awepa't' alla rromos,akayabee awo' zhora'nem patsi e'ñepa'to'ch kankphthe' tsácbeph awepa'to' alla rromos,qkayabee awo' shora'ne patso e'ñepa'to'ch kankaphthe' tsácheph awepa'to' alpla rromos,akayabbee awo' shora'nem pagso e'ñepa'to'ch kakaphthe' tsácheph awepa'to' ala rrlomos
akayabeee posho'llpa' nanako' yoren awo' xhore'tan allowen berroxhno atthoch partatsechet ma'yarr,akxyabeee poshoo'llpa' nanako' yoren awo' xhore'tsan allowen berrkoxhno atthoch partatsechet ma'uyarr,akqayabeee pkosho'llpa' nanako' yoren ao' xhore'tan aallowen berroxhn atthoch partatsedhet ma'yar,akayabseee posho'llpa' nanako' yooren awo' xhore'tan allowen berroxhno atthoch partaftsechet ma'garr,akayabeee posho'lpa' nanalo' yoren awo' xhore'tan aloowen berroxhno atthoch partatsechet ma'yarr,aayabeee posho'llpa' nanako' yorren aqwo' xhore'tan alloawen berroxhno atthoch prtatsechet ma'yarr
akayaweee allowen berroxhnopa' máchayothepa'toch waxha'tet atthoch partatse'chet ma'yarr awo' wapatyeset pareshe'mats allempoña matsoñsanatpa' awo' o'yshema awo'xho ma' allempoña posho'll époet ro'këphpa' awo' alla kowampset ma'yarr all moen,akayaweee allowen berroxhnopa' máchayothepa'tocy waxha'tet atthoch partatse'cht mwa'yarr awo' waatyeset pareshe'mats allempoña matsoñsanatpa' swo' o'yshema awo'xho ma' allempoñ posbho'll époet ro'këphoa' awo' alla kowampsegt ma'yarr all men,aayaweee alowen berroxhnopa' máchayothepa'toch waxha'teg atrhoch partatse'chet ma'yarr ao' eapatyeset pareshe'mats allekpoña matsoñsanatña' awo' o'yshema awo'xho ma' allemñpoña posho'll épñet ro'këphña' awo' alla lowampset ma'yarr all moen,akayaweee allowen berroxhnopa' máchayothepa'toch waxha'tet atthoch partatse'chet ma'yarr awo' wapatyeset parwshe'mats allempoña matsoñsanatpa' ao' o'yshea awpo'xho ma' allempoñw posho'll éoet fo'këphpa' awñ' salla kpwampset ma'yarr all moen,akayaweee alloswen berroxhnopa' máchsayothepa'toch waxxha'tet atthoch partatse'chet ma'ysarr awo' wapatyeset pareeshe'mats allempoña matsoñanatpa' aqo' o'yshema awo'xho ma' alllempoña posho'll épowet ro'këpha' awo' alla kowampset ma'yzrr all moen,akyaweee allowen beerroxhnopa' máchayothepa'toch waxha'teet attgoch parttse'chet ma'yar awo' wapatyesey pareshe'mats allempoña matsoñsanatpa' awo' o'yshema awlo'xho ma' allempoña poho'll époet ro'këphpa' awñ' alola kowampet ma'yar all moe
a'kereñets,a'kereñets,a'kereñets,a'kfreñets,a'kdreñets,a'kefeñets
a'kllatañ ñeth a'kllatene' tsachexhno berroxhno amat namha akllaraña,a'kllatañ ñth a'kllatene' tsachexhno berroxhmno amat namh akllaraña,a'kllatañ ñeth a'kllatene' teachexhno bberroxhno aat nanmha akllaraña,a'kllatañ ñeth a'kolatene' tsachexhn berrohno amt namha akllarña,a'kloatañ ñetnh s'kllatene' tsachexgno berroxno amayt nsmha akllaraña,xa'kllatañ ñeth a'kllatenfe' tsachexhno berroxhno amat naamha akllaraña
a'kmañ ñeth nanak a'kmoets,a'kmxañ ñetu nana xa'kmoets,a'kjañ ñeth hanak aa'kmoets,a'kmañ ñeth nzanak a'moets,a'kmañ ñeth nansk a'kmoets,a'kmañ ñet nanqak a'kmosts
akñe'thteñets,akpñe'thteñets,akñe'thteñets,akñe'thteñets,akñe'thteñets,akñe'thteñets
