,sentence,error_0,error_1,error_2,error_3,error_4
70,ainboki benbo betan yomerai kati atipana,ainboki bfnbo getan yomrrai kati atipana,ainblki benbo beetan yomefai lkati agtipana,anboki benbo bean yomserai kti aytipana,ainboki benbo getan yomerai kati atkpana,ainboki benbo bean yomerai kat atipana
71,ainboki benbobetan yomerai kati atipana,aingboki brenbobetan yomerai kzti atipabna,ainbki benbobetan ypomerai kkati atipan,ainbpki benbobetan yomerai kati atipanwa,ainboki benbonbetan yomeri kati atipaha,ainboji benbobetan yomerai kati atipaha
72,ainbo mawaketian jainoax bake mawaketian jaton rarebaon xobo napobi jato minkatikanai,ainbo mawaketizn jainoax bke mawaketian jaton rarebaon xobpo napobi hjato minkatikanai,aihbo mawaketian jainoax bae mawaketian jaton rareaon xobo bapobi jato minkatikanao,ainbo mawaketian jainoax bbake mawaktian jaton rarebon obo napobi ujato minkatianai,ainbo mawaketian jainax bake mawaketian jaton rareban xoo napobi jato minkatikanai,ainhbo mawaketian jainoax bake awaketian aton rrebaon xobo napobi hjato minkatikanai
73,ainboninbicho ayamai nato tee,ainboninbicho ayakmai nafto tee,ainboninbicho aamai nato tee,ainboninbicho ayamai nato ee,ainboninbicho aymai jato rtee,ainboninbicho ayamaki nao tee
74,ainbonin jawen wetsa reken itan benbon jawen reken poi,ainhbonin jawen wetsa reen itan benbo jawen reken pi,ainbonin jawen wetsa rekwen itn benbon jawen rekenn poj,zainbonin jawen weftsa reken itan benbln jawen reken ooi,ainbnin jawwn detsa rekejn igtan benhon jawen reken poji,ainblonin jawen wetxa rseken itan benbon jawemn reen poi
75,ainbonin nato yapabo xoiya iki ipo piro main boe,ainbonin nato yapabbo xoiya iki ipo piro ain oe,ainbonin naato yapabo xoiya ikji io piro maib boe,ainbonin nato yzpabo xoiya ikki ipo piroo main boe,ainbonn nato yapabo xoiya kki ipo pieo main bo,ainbonin nato yapabo xoiywa ik ip pio mwin boe
76,ainbonin oxe akai westiora ainbo poa imaxonwe poabo ani inon ikax,ainbonin oe akai westilra alnbo poa imaxonwe poabo zani inon ikax,ainbonin xe akai westiora ainbo poa imaxonwe poabo ni inon ikzax,ainbonin oxe akai aestiora ainbo pooa imaxonse poagbo aji inon iax,ainbonin ox aai wwestiora ainbk oa imaxonwe oabo aji inñn ikax,ainbbonin kxe akai westior ainbpo po imaxonw pobo an inon ika
77,ainbonin poin awin,ainbonjin lpoin awin,ainbonijn poin awin,ainbonin poib awin,ainbonin poijn awijn,ainbonin poln awin
78,ainbonin poi reken,ainbonin poli reken,ainbonin poi reken,ainbonin poi freken,ainbonin opoi rekn,ainbonin ñoi reken
79,ainboninra oon banai,ainbonuinra oom banai,zinboninra oln banai,ainboninra on bamai,ainboinra oom banai,ainhboninra lon banai
80,ainboninra winixon beon icha potake,ainboninra winixon hbeon icha poake,ainboninra winixo beon icga potake,ainboninra winixon beon icha potake,ainboninra winixon ben icha potsake,ainboninra winixon beon icha potake
81,ainboninra yoike nokon kokara atsa xeatishaman xeakasai akin,ainboninra yoike hnokon kokar atsa xeatishaman xeakasai akkin,ainbooninra yoie nokon kokara tsa xextishaman xeakasaoi ain,ainboninra jyoike nokon kokara atsa xeatishqman xfakasai akin,ainboninra gyoike nokon kokwara agsa xatishaman xeakasi aiin,ainboninra yoike nokon kokar atsa xeatishakan xeakasai akkin
82,ainbonin wetsan bake ainbo,ainbonin wetsan bake ainbo,ainbonin wetsxan bake ainbl,ainbonin wetsan bake alinbo,ainbonin wetsan bbake aino,ainbonin wertsan bake ainbo
83,ainbo pataxbi oxacana iki,ainbo pataxbi oxacana ii,ainbo pataxhbi oxacana oki,ainbo partaxbi oxacanwa iki,ainbo patqxbi oxacna ii,aibo pataxbi oxacana iki
84,ainbora atsa mexai itinke,ainbora atsa mexai itinke,ainbora atqa mexai itinks,ainbora atsa mexai itnke,qinbora ata mexai itinke,ainbora atsqa mexwi itinke
85,ainbo rabe jaskabekonai jabe raenanai aki,ainbo rzabe jaskabekonai jabe rqenanai aku,anbo rabe jaskabekonai jabe raenaai aki,ainbo rabe jaskabekonai jabe raejanai aki,ainbo rabe jaskaekonai jabe radnanai xki,ainbo rabe jaskabekonai jabe raenanai ai
86,ainbo rabe yoyo ikanai oina pekao yokabo yoiwe,inbo rabe yoyo ikznai oina pekañ yokab yoiwe,aoinbo rabe yoyo ikanai okina pelao yojabo yoiwe,ainbo eabe goyo ikani oina peka yokabo yoiwe,zinbo rabe yoyo kanai oina pekaao yokabo yiiwe,anbo rabe yoho ikanai oina pekao ykabo yoiwe
87,ainbora janbi joi biax kishpimeeke,aingora jani joi biax kishpimeeke,aonbora jzanbi joi hiax kishpimeeke,ainborx janbi jo biax kishpimeeke,ainbora anbi ji bax kishpimeeke,ainbora jahnbi joi buiax kishpimeeke
88,ainbora jan mapoki ikatiai ja pekao manon ika ikatiai jawen boo kikinbires wisoshaman,ainbora jan mappoki iktiai nja pekao manom ijka ikatiai jawen noo kioinbires wisoshaman,wainbora jan mapoki ikatiai ja pekao manon ika ikatiai jawn goo kikinbires wisoshaman,ainbora jan mapoki uikatiai ja pekao anon ikka ilatiai jaween bñoo kikinbires wisoshaman,ainbora jan mapokki ikatiai ja peka mann ilka ikatiai jawen boo kikinbires wisoshaman,ainbora jan mapoki iokatiai ja pekao janon ika ikatiai mawen boo kikinbides wioshaman
89,ainbora jawen bake mawaketian testetai maxkoroyamai ja jawen bake nawataton meekatitai iketian,ainborza jwen baike mawaketiahn testetai maxkoryamai a jawen bake nawatsaton mfeekatitai iketian,inbora jawfn ake mawaketkan tstetai maxkkoroyamai ja jawdn bake nawataton meekatitai iktian,anbora jawen bake mawakdetian teshtetai maxkoroyamai ja jawen bake awataton meekatitai iketiaan,ainbora jawn bakf mawakeyian htestetai maxkoroyamai ja jawen bake nawataon meekatitai iketian,ainbora jawe nbake mawketian testetai maxjoroyamai ja jawden gake nawaaton meekatita iketian
90,ainbora jawen bake mawaketian testetai maxkoroyamai jawen bake nawataton mekatitai iketian,ainnbora jawen bake mwaketian testetwai maxkoroyamai jaen bake nawataton mekatitai iketian,xainbora jaawen bakd mawaketian testetai maxkoroyamai jawen bwke nawataton mekatitai iketixn,ainbora kjawen bake mawaketian testetaii maxkoroyamai jwwen bake nawataton mekatitwi iketlian,xainbora jawen bbake mawaketoian testetai madxkoroyamai awen hake nawaaton mekatitai iketian,ainbofa jawe bake mawaketian testetai maxkoroyamai jawej balke nawatatin mekattai iketian
91,ainbora mapo xaxon napoxon oxatimapari iki,ajnbora mao xaxon napoxon oxxatimapari iki,ainbora mapo xxon naooxon oxagimapari jki,aimbora maño xaxon apoxon oxatimapari iki,ainbora mapo xaxon napoxon oxatimapari ki,ainbbora mapo dxaxon napoxon oxatimpari ii
92,ainbora raroi bewai,ainbora eraroi ewai,ainbora raroi bewai,ainbbora raroi beai,ainbora raroi bewi,ainbora aroi bewai
93,ainbora yoyo ike jaronki yapashaman pikasai,ainbora yoyo ike jarobki yapashaman ppikasai,ainbra yotyo kike jaronki yapashaman pjikasai,ainbora yoyo ike jaronkui apashaman pikasai,ainbora yoyo ike jaronki yapashaman pikasai,ainblra yoyño ike jarnki yapashaman piksasai
94,ainbo xontako jonei kai ainbobaon iamax yoxanbaon akatiai jato axonkana xeatibiribi xeakin jatonabiribi,ainb xontako jonei kai ainbobaon iamax yoxanbaln akatiiai jato axonkana xeatibiribi xeakin njatonabiribi,ainbo ontako jionei kaji ainboaon lamax yoxanbaon akwatiai jto axonkaja xeatibiribi xeakin jatonabiribi,ainbo xontqko jonei kao ainbobaon lamax yoxanbaon akatizi jato axonmana xeatibiribji xeskin jatonabirigbi,ainbbo xontako joei kai ainbobaon iamax yoxanbaon akatiau jayo axonkana xeatibiribi xeamin jatonabiribi,ainbo xontako jonei ki ainbobaon iamax yoxanbaon akkatiai jati axxonkana xeatibieibi xweakin jxtonabiribi
95,ainbo xontako jonin yoyo aka jeen iketian yoikatitai ocho jabati kaati,aibnbo xontako jonin yoyo aka jen iketia yoikatitai ñocho jabati kaati,ainbo xontsako jonin oyo aka heen iketiian yoikatita ocho jabati kaat,ainblo xontaako join yoyio aoa jeen iketian yoikatitai ocjo jabxati kaati,ainbo xontako jjonin yoyo aka jeen iketian yoikatitai ochk jabati kaaati,ainbo xontako jonin oyo ka jeebn iketian youikatitai ocuo jabari kaati
96,ainbo yoman timai yakata,aibo yomamn timai yajkata,ainbo yoman tinmai yakata,ainbo yoman timak ykata,inbo yoman tikai yakqta,ainbo yoman timai yakata
97,ainbo yoxaman jakinainko rani jokona,ainbo yoxzaman jakimnainko ran iokona,ainb yoxajman jakinainko rni jokona,ainbo yoxamn jakinainko rni joikona,aoinbo yoxaman jsakinainko rani jokpona,ainbo yoxaan jakinainko rano jokona
98,aka akama jakon akin wisharibiwe,aka akama jakon aikin wisharibiwe,ak akma jakon kin wisharigbiwe,aka akama jakon akin wisharibiwe,aka akaama jakon kin wisharibiwe,ak akama jakpon akin wisharibiwe
99,aka akama wetsa join yoyo ikaibaon onana jawekibo onanti wisha jaki ikara en yoyo akai jaskaribira jawen ribojo en oinai,aa akamma wetsa join yoy ijaibaon onana jawekibo onanti wiha jaki ikara en yoyo aai askaribira mawen riboj eb oinaji,ak akama wetsa join yoyño ikaibaion onana jawekibo onanti wjisha jaki iikara n yohyo akai jaskaribira mjawen ribojo wen oinaj,aka akama wetsa join yoyo ikibaon onana jawekibo onanti wishha jaki ikaara em yoyo aki kjaskaribira jawen ribojo emn oinai,wka akama wehtsa jooin yoyo ikaibaon onana jawekibo lnanti wisha kjaki ikara en yoyo aai jaskaribira jawen ribojo fen oina,aka akaama wetsa join yoyo ikaibaon obnana jawekibo onani wisha jki ikaa en yoyo akal jaskaribira jawen ribojo en oini
100,akai itan ikai joibo riki yoia joibo maxkatima,aai itan ikai joibo riki gyoia joiho maxkatima,akai itah ikai joibo rimki yooa joibo maxkatima,wkai itan ikai jobo triki yoia joibo maxkatlma,akai oitan iai joibo ruiki yoia jpoibo maxkatima,akai itan ikao joibo rikki yoa joibo maxkatima
101,akai itan ikai joi jaskatai joi riki jj jane joni yoina jiwi iamax jaweki akai itan ikai join imai,akai oitan ikai joi jaskatai joui eiki jj jne ijoni yoia jiwi iama jaweki aai itaj ikai join imai,aksi itxan iki jol jaskatai jo riki jj iane honi yoina jiwi amax jaweki akai itan ika join imai,akai tan iikai jo jaskatai jpoi riki jj jaje kjoni yona jiwi iamax jaweki akkai itan ikxai join imai,aai itwn ikai jii jaskatai joi riki jj janne joni yoina jwi iamax jawekk akaui ita ikai joijn imaji,aai itan ikai joji jaskatai joi iki kj jxne joni yoina jii iamax jaweki kai itan ikaji jooin limai
102,akai itan ikai joi yamaketianra yoyo itikoma ikeanke,akai itan kkai jo yamakeianra yohyo itikoma ikeank,akai itan ikai ji yamaketanra ykyo itikñoma ikeanke,akai itan ikai joi yamaketanra yyo oitikoma ikeanke,amai itam ikaki jñoi yammaketianra yoyo itokoma keanke,akai itan lkai joi yamakwtianra yoyo itikoma ikeanke
103,akai joibo biti kati piti papanra maxan bachi biai,akai joibo bbiti kati pit papanra maxan achi bii,aki jolibo bkti kati piti pañanra maxan bachi biai,akai joigo biti kato piti oapanra maxan achi iai,akai joio biti ati piti papznra masxan bachi biai,akai joibo biti kzti piti papanra mmaxan bachhi buai
104,akamatianbira min nato yokabo senen ati jake,akamatianira mimn nato ylokabo senen ati jake,akmatianbira min nato yokabo seben ahi jake,akmatianbira mi nato yokabo enen ati jake,akamatianbira min natño yokabo senen at jake,akmatianbira min nato yokabo senen ati jake
105,akamatianbi wishapari yoyo awe,akamatiani wishapari yoo awe,akamaianbi wishapari yoto awe,akamatianbi wishapwari yotyo awe,akamatianbi wishapari yoyi awe,akamatianbo wishapari yoyo awe
106,akamatianbi yokabo yoiwe,akamatianbi yokabo yoiw,akamatianbi yokab ypoiwe,aamatianbi yikabo yiwe,akamatianbi ypkabo yoiwe,akamatianbi yokbo yoiwe
107,akanai chomo itan mesko jawekibo,akahai chomo itan meskk jawekibo,ajanai chomo itan mresko jawekibo,akani vchomo jtan nmesko hawekibo,akxanai chomo itan mesko jawfkibo,akanaji chomo ian meskp jawekibo
108,akana iki ani itan maxko nontibo,akan ikl ank iyan maxko nontibo,akana iki ani ian kmaxko npntibo,akaba iki ani jtan mxko nontibo,akana ki ahni itann mazxko nontibo,akzana ikoi ani itamn maxko nontibo
109,akana pekao axeamis bakebobetan yoyo ikai,akana pekao asxeamis bakebonetan youyo ikaki,amana ppekao adxeamis bakebobtan yoyo ika,akansa pekao axeamis bakebobetan yiyo ikai,akana pekao axeamis bakrebobetan yoyi ikai,akana pekao axeamis bakebobetan yoyp ikai
110,akanwe yobin kokokin,akawe yobin kokokin,akajnwe yobij kokokin,aanwe yobin kokiokin,akawe yobi lkokokin,akanwe uyobin okokin
111,aka pekao jatixonbi yoyo akanai,ajka pekao jstixonbi yoyo akanai,aka ekao jatisxonbi yoyo akanai,aka pekao jatixonbi oyo aanai,aka pekao jatixonbi yoyo akanai,ka pekao jatixlnbi yoyi akanai
112,akapekao mibe axeaibo itanribi axeamis oimapekao jakonmataniakin min apakeabo pontexon wetsa pein wisharibiwe,akapekao mube axeaib itanribi axeqamis oimapekao jakonmatanakin min apakeabo pomtexon wrtsa oein wisharibiwe,akapekaño mibe aeaibo itanribi aceamis oimzpekao jakonmataniakin min apakeabo ponexon wetsa psein wishaibiwe,akaekao mkbe axesaibo itanribi axdamis oimapekao jakonmataniakin mn apaeabo pontexon wegtsa pein disharibiwe,akapeao mibe axeaibo itangribi axewamis oinapekao jakonmatanniakin min sapakeabo pontexon wetswa pein wishariblwe,akaekao mibe axfaibo itanribi axeamis oimapeko makonmataniakin min apakeabo pontexon wetsa oein wiisharibiwe
113,aka pekao non toponai jaweti teotiki aka ixon onantikopi,akq pekao non oponai aweti teotiki aka ixojn onantikipi,akaa pekao non toponai jaweti teotikj aka ixon onantiopi,ama pekao non toponai jaweti teotiki aka ixon onatikopi,aka ekao hnon yoponai jaweti teotiki aka ixon ñonantikopi,aka pekaio non toponai jaweti teotiki aka ion onantikopi
114,aka pekaora samati iki westiora nete jawebi xeayamakin itanribi piamakin batairaribi xeayamakin,aka pekaora samati iki westoora bnete jzwebi xeayamain itanrbi piamakin batairaribi xeauamakin,aka pekaora samagti ioi swestiora nete jaweni xeayamakn itsanribi lpiamakin batairaribii xeayamakiin,aka pfkaora samai iji westior nete jawebi xweayamakin itanribi piamakin bzatairaribi xeayamakin,aka pekaorxa samati iki westiñora nete hjawebi xeayamaki ktanribi piamakin batairribi xeayamakin,aka pekaora samat ii dwestiora nete jawebi eayamakin itanribi piaakin bafairaribi xeyamakin
115,akapekao wishawe torotibi jaweti joi tsosayarin nato joibo jatires sikawe,akapelao wishawe torotibi naweti joi tsosaarin nato jobo jatires sikwe,akañekao wishawe torotibi mjaweti joi tsksayarin nato oibo jatires sikwawe,akapekao wishawe torotii jaweti hoi tsosayarin nato joibo jatuires sikawe,akapekao wishawe torotibi jawegi joi tsosayarin nto joibo jatires sikawe,akapekap wishawe tootibi jawetj jol tsosayarjn nato jpoibo jaties sikawe
116,aka pekao yoikanwe jawe yoirin maton joyotibi wishaabo,aka pekao yikanwe jawe ylirin maon joyotibi wishaabo,aa pekañ yoikanwe jawf yoirin maon joyotibi wishaabo,xaka psekao yoikanwe jae yoirin maon koyotibi wishaab,ka pekao yoikanwe jqwe yoirin maon jootibi wishaabo,aka pekao yokanwe jawe yoidin mato joyotibi wisnaabo
117,akapekao yokata non senen aboai,akaopekao ykata non senen aboai,akapekao yokata non wenen aboai,akaekao yokata hnon wenen abai,sakapekao yokata non sendn abosai,akapekao yokata nn snen abai
118,aka pekao yokawe jawe yapaboki itina rekena joyokan,aka pdkao yokawe jwe yapaboki itinx rfekena joyokan,aka prekao yokawe jae yapaboko itina rekena joyiokan,aka pfekao yokawe jae yapabloki itijna rekena joyokan,aka pekao yokawe jaae yapaboki itina rekna johyokan,aka pekao yokawe jawee yapaboki itia rwekena joyokan
119,akasabi onon ikax okeresai,akasabi onon ikax okeresai,akasabi onon iikax okeresai,akasabi onon ikax okeresai,akasabi onon ikax okeresai,akaabi onohn ikax okeresi
120,akaskin wetsa kirika pein awe,akaski wetsa kirika peon awe,akakin wetsza kitrika peib awe,akaskin wetsa kirika pein awe,akaski wetsa kirika pein awe,akakin wetsa kiria ñpein awe
121,akatikanai bake ainbo jakon akin raoakin nane betan maxen bekenekin mekenekin nanen taxtekin rexo sawemakin menexeti betan iso xeta sawemakin teoti teomakanai kori sawemakin jaskaribi chitonti keneya sawemakin koton bena,akatikanai bake aingo jakon kin raoakin ane betan maxehn bekenekin mekenekin nanen tatekin rexl sawemakjn menexeti beta isio xea sawemakin tweoti eomakanai kork sawemakin jaskaribi chitonti keney sawemakin koton bena,akatioanai bake ainbo jamon akn roakin nane betan maxn bekenekin mwkenekin nanen taxtekin rexo sawemakin menexeti betan iso xeta saweakin tfeoti teoakanai kori sawemakin jaskribi chitonti kejeya awemakin koton bena,akatioanai bke inbo jakon akimn rzaoakin nane betan maxenn bekenekin mekenekin nnen axtekin rexo sawemakin menexetj betwn lso xeta sawemakijn teeoti teomakanai koi sawmakin jaskafribi chitonti keneya sawemakin kotlon benx,akatikanai bake qainbo akon qkin raoakin nane betan mmaxen bekenekin mekenekin nanen taxtekihn rexo sawemakin mehnexeti betabn iso seta sawemakin tsoti teomakaanai kori sawemakin jaskarribi chitonti keneya saqemakin koto bena,akatikanai bae ainbio jaoon akkin raoain nane betxn maxen bekenekin mekenekin nanen taxtekjn rexo saweemakin enexeti betan iso xeta sawemakin teoti teomakanai kori awemakin jaskaribi chitonti keneya sawemakin koton bena
122,akatikanai katokin panchashamanbo nontiati onanbo ixon,akatikanai katomkin panchashqamanbo npontiati onanbo ion,akagikanai katokih panchashamano nontiati nanbo ixon,akatikanai katomkin panchahamanbo nontiai onanbo ixon,akztikanai kahokin panchashamanbo nontiati onanbo ixn,akatikanai karokin panchashajmanbo nñontiati onanbo ixon
123,akax manakana iki piti paenai iamax mawataibo binox,akacx manakana iki ñiti ñaenai iamax mawataibo bkinox,akax mnakana iki lpiti paejnai iamax mawataoibo bino,akax manakana ilki pit aenai iamac mawataibo binox,akax manqakana jki opiti paenai iammax mawataigbo bnox,akx manakna iki piti pwenai iamax mawataio bino
124,akin aka iki jawen papa,kin amka iki jawen papa,ain aka iki jwen ppa,akin alka iki jasen ñapa,akin aika ikoi jasen lapa,akon aka iki jawen papa
125,akin akai pikin yapa pochinikonbores mapokiri itan jinakiribi akama,akin akali pikin yapa pochinikonbres mapokri kitan jinakiribi aiama,aki akkai pikin yapa pochinikonbores mapokirji itab jinakiribi akana,akin akai likin yapa pocuhinikonbores mapokiri itab jinwkiribi akama,akin aai piikin yapa pochinikonboores maookiri jitan jinakirii aama,akin akai pikib ypa pochinikonboeres mapokiri itan jinakribi akama
126,akin akai pikin yapa pochinikonbores mapokiri itanribi jinakiribi akama,akin akai pikin yaa pochinikonbores mapokiri itangibi jinakiribi akma,akin akai lpikin yap pohinikonbores mapokiri itnribi jinamkiribi akama,akin akai pikn yapa pochinikohbores mapkiri itanribi jimakiribi akama,akin aai pikin yapa pochinikonbores mañokiri itanrigbi jinakirii akam,akin akai piklin yap pochinikonbores japokiri irtanribi jinakiribi akama
127,akin akama benxoa pekao jakiribi wishawe,akin akama bendxoa pekao jakirii wishawe,akin akama bexoa pekao jqkiribi wisshawe,akin akama enxoa pekao jakirii wishae,xakin qkama enxoa pekao jkiribi wishawe,akn akama benxoa pekao jqkiribi wishawe
128,akin akama enribiki nokon shinanbo yoia,amin akama enribiki nokon shinsnbo yoia,akin akaa enribki nokon sshinanbo yoia,akin akama enribiki nokoj shinanb yokia,akin akams eribiki nkokon shianbo yoia,akin akama enrlibiki nokomn shinsnbo yoia
129,akin akama itibikeskatira ea yoyo ike,akn akama litibikeskatira ea yoyo iks,aki akama itibikeskatira ea yoyo ikw,akin akama itibikeskatira ea yoyo ike,akn aama itibikeskatira ea yyo ike,akij akma itibikeskatira ea yoyo ike
130,akin akama ja chibamakin senen ati,akin akamq jz chibamakin senen atu,akin aokama ja chihamakin sensn ati,akin akama ja chibamakin xsenen at,akin akzma ija chibamakin senen ati,akinn akama ja chibamakin senen ati
131,akin akama ja jemankoxon bomaiki yoia,akin akama jx jemankoxon bomaikk yoi,akin akajma ja jemankoxn bomaiki yoia,akin akama kja jemankozon bomaiki yoia,akjn akam ua jemankoxon bomaikoi hoia,akihn akama ja jemankoxpn bomaiki yoia
132,akin akama jakon joiboki en jato ninkama,akin akqma jakon joiboki n mato ninkama,akin akama jakon joiboki en jat ninkama,akij akaa jakon joiboki n jato ninkama,akin akama jakñon joiboki emn jato ninkama,alkin akama jakon joiboki den jato ninkamx
133,akin akama jaskaaxon namiatira non yoyo akai jaskaaxon namiatiki wisha yoyo akamabi nato ribojo oinwe,akin akanma jaskaaxon namiatira non oyo aai jaskaaxon namiaytiki wisha uoyo akamai nato ribojo oiwe,akin qakama jaskaaxon namiaatira non yoyo akai jaskaaxobn namiatiki wisha yoyo akamxabi nato ribojo oinwe,aklin akama jasksaaxon namiatira nn yyo akai jwskaaxon namiatiki wisha yoyo akamabi natko ribojo oinwe,akin akwama jaskaaxon namiatira non yoyo akai jaskxaxon namiatkiki wisha yoo akamabi nao riibojo ooinwe,xakin akama hjaskaaxon namiatira noj yoyo ajkai jaskaaxon namitiki wixsha yoyo akwamabi nto ribojo oinwe
134,akin akama jaskara en akabo ja wishakan janeki en yoia,akin aama jaskara en akabo kja wishakan janeki en yoia,akin akama jaskara en akabo ja wishakan janeki en yoia,akin akama jaskafa en akabo mja wishakan janeki enn yoia,akin akama jaskara ehn akabo jsa wishakwn janeki en gyoia,akn akama jaskara en akabo ja wishakan janei n yoia
135,akin akama nato chite ikain yokabo chibamakin min ninkatabo wishawe,akihn akzma nato chite ikain yojkabo chibamakin mi nnkatabo wishawe,kin akama nato chite ikain yokabo chibxamakin mim ninkatabo wishawe,akin akama nato fhite ikkain yokabo chjbamakin min ninkahabo wishawde,akin akma nato fhite ikain ypokabo chiamakin moin ninkatabo wishawe,akin akama hato chite ikain yojabo chibamakin min ninkatabo dwishawe
136,akin akama ninkawe shinanbenoyamawe tsakabo ja atinkobibo ati joi senenain itan joi tekibainti ikainkobo,akoin kama ninkaw shinanbenoyamawe tsskabo ja atinkonibo ai joi senenain itan jo tkibainti ikainkobio,akin akama ninkaw shinanbenoyamawe tskabo jza atjinkobibo ahti joii senenain itan joi ekibainti ikainkobo,akin akama ninawe shinanbenoyamawe tsakab ja atinkobib ahi joi senenain itan joi tekobainti ikaibnkobo,kin kama ninkawe shinanbenoyyamawe fsakabo jx atinkobibo ati oi senenain itan joi tekibaiti ikainkobo,akin akama nnkawe shinanbenoyamaws tsaksabo ja atinkobibo atl joi ssenenain itan joi tekibainti ikainkobo
137,akin akin jojo akin taka pinon jojo akin,akn zakin jojo akin taka pinon jiojo ain,kin akjn jjo akin tak pinon jojo akin,akin aki johjo akkin taka pinon jojo ain,akin xakin jjo akin taka pinon joj akin,xkin akn jpjo akim taka pnon joj akin
138,akin akin mari akin min taka anon akin akin mari akin wetsa bake yoiyai,akin akoin ari akin min taka wanon aikin akin mxri aki wetsa bake yoyai,akibn akin mari aikin min talka ann akin akin marki akin wtsa bake yoiyai,akimn akin msari akin min taka ahnon xkin akin jmari akon wftsa bske yoiyai,akin akin ari akin min taka anon akkin aklin marli akoin wesa bake yojiyai,akuin aki mari akon min taka anon akin akimn mmari kin wetsa baie yoiya
139,akinananaibo jaton jakon shinaman ima ikonkon jonin shinanyabo,akinananaibo jaton jakon shinwaman ima ikonon joonin shinajnyabo,akinananaibo jatkn jaon shinamamn ima ikonkon jonin shinanybo,akinwananaibo jton jakon shinaman ima ikonkon jonin shinahyabo,akinananaibo jjaton jakon shinaman ia ikonkon jñnin shinanyabo,akinananajibo jaton jakon shinaman ima ikpnkon jonij shinanyao
140,akinanani teetai rabe riki yosibo,aknanani teetal rabe riki gyosibo,akinanahni teetai rabe rimi gosibo,aoinanani eetai rabse riki yosbo,akinanani teetai rabs riki yoslibo,akinaani teetai rbe riki yosibo
141,akinani teetai rabe riki yosibo,akinxani teetai rae riki yosibo,akinani teretai rabe riki yosibo,akinqni teftai gabe rlki yodsibo,akinani teetai rabe riki yoibo,akinani teetai rabe riki yosino
142,akin awe wisha tsosa yapashamanbo ani yapabo yapaboribi mea jisberonki ika iki joni beneya jawen benenronki aka iki mesko yomerai kaxon bebekin bea iki itan yapabo chitemeran ika joibaon yoia joibo wishawe,akin awe wisha ysosa yapashamanbo ani uapabo yapaboribi mea jisberknki ik iki joni bneya jawen benenronko aka iiki mesko yomerai kaxkn bebekin bew ikk itwn yapabo chtemeran ia joibaon yoia joibo wshawe,akinn awwe wisa tsosa yapashamajbo ani yapabo yapaboriibi kea jisbedronki ika iki jñoni beneua iawen bbenenronki aka ijki nesko yomerrai kaxon bebekin ea iki itan yapabo chtemeran oka joibain yoia joibo wisawe,aki awe wisha tsossa yapashamanblo ani gapabo yapaboribi mdea iisberonki ijka iki jon beneya jawen vbenenronki ama iki mesko yomerai kaxo bsbekin bsa iki itan yapabo chitemeraan iks joibaom youia joibo wishawe,kin awe wisha tesosa yapashzmanbo ani yapabo yapaboribi mea jisberonki ka iki jni beneya jawe benenronki aka iki msko yomerai kaxon bbekin bwa iki itajn yapabo chitemeran ijka joibxon ypia joibo wshawe,aki awe wixsha hsosa yapashaanbo ai yapablo ywapaboribi mea jisberonki ika imki jobi bdneya jaswen benenronki ak kiki mesko yoerai kaxon bebekn bea iki itan yapabo chitemeran ik uoibaon yola joibo wishawe
143,akinbi keyoamapari ai ikayabo moa keyoa ke ikayabo nenobo yoiopakewe moa keyoarin iamaxon keyoamaparirin ixon,akinbi keyoamapari aui ikayablo mooa keyoa ke ikagabo nenobo yoiopakewe mmoa keyoarin iaaxon keyoajaparirin ixon,aminbi keyoamapari ai ikzayabo moa keyoa ke ikayyabo nenobo yoioopakewe moa keyoarib iamaxon ketoamaparirin ixon,akinbi keyoamapari ai ikaayabo moa keyoa kf oikayabo nenobio yoioakewe moa keyoarin iamaxonn keyoamaparirin ixon,akinbi kehoamapari ai ikauabo mox kyoa ke ikayabo nenobo yoioakewe mpa keyoarin iaaxon keyoamaparirin ixon,akinbi keyoamapari sai jikayabo jmoa keyoa ke ikayabo nenobo yoiopaewe ma kyoarin iamaxon keyoamapariin ixñn
144,akinbironki jakonshamanpari ayamaa iki,akinbieronki jakponshamanpari ayaaa iki,akinbironi jakonshakanpari ajyamaa iki,akinvbironki jakonshamanpari qyamaa ijki,akinbirionki jakonshamanpari ayamaa ili,akinbironki jakonshwamanpari ayamaa iki
145,akinbi yokaboresai,akinbi yokaboresai,akihbi yokaboresai,akinbi yokzaboresai,amkinbi okaboresai,akinbi yokaboresai
146,akin chichocha chinixon witabo niati niwen poxanaketian,akin chichoch chinixon witabl niati niwen poxanaketian,amin chichocha chimnixon wiytabo niati niwen poxanaketian,aiin chichocuha chinixon witabko noiati niwen poanaketian,akon chichocha chinixon witabo niat niaen podanaketian,akoin chichcha chinizon witabo niati niwen poxanakerian
147,akin iamax akama jawekopi,ain uiamax akama jawekopi,akin iamax akama jawrkopi,akin iqamax akama jawekopi,akin lamax kama jawekopi,akih iamax akama jaawekopi
148,akin iamaxon akama ika wishawe min wishaabo oinxon,akin iamaxon aokama ika wishawe mon wshaabo oixon,akin iamaxon akama ika wishawe mn wishaabo oinxon,akin iamaxon akaama ikza ewishawe min woishaabo oinxon,akin iamaxon akama ika wisghawe min wishaabo oinxon,akin iajaxon akama ikxa wishawe mn wihaabo linxon
