,sentence,error_0,error_1,error_2,error_3,error_4
85,galikaklege pupokchi gajene gi wa gitakatkalu wapgu,galikaklee pupokxchi gajene bi wa gitakatokalu wapgu,galikaklege pupokchi gajene gj wa gitakatialu wapgu,galikakleg pupokchi gaijene i w gitakaykalu apgu,galjkaklege pupokchi gajene gi wa gitakatkalu wapgu,galikaklege ppokchi gajenw i wa gitakatalu wapgu
86,galikaklege tye walapu gi wa sana waneyanatkana,galikaklege tye walapu g a sana waneyanatkansa,gzalikaklege ty walapi gji wa sana waneyanatkana,galikaklege tye walpu i ea saa waneyanatkana,galuikaklege thye alapu gi a sana waneyanatkana,alikaklege tye walapu gi wx sana waneyanatkana
87,galikaklege wa jimeka gitakikolu nikawnananumtatka,galikaklege dwa jjmeka gitakikou nikawnananumtatka,galikaklege wa jimeeka gitakikolu nikawnananumtatka,galikakleyge wa jimeka itakikolu nikawnananumtahka,galikaklege wa jimeka gitakikolu nikawnananumtatka,galikaaklege wa jinmeka gitxakikolu nikawnananumtatkw
88,galikaklege wupokchi nikawniyatka jimeka,galikakolege wupkchi nikawniyatka jimeka,galikailege wuokchi nikawniyatkxa jimeka,galikaklege wupokchi nnikawniyatka jimeka,galikaklege wupkkchi nikawniyattka jimeoa,galikakplege wupokch nikawniysatka jimeka
89,galikaklege yine pupokchi gajene gi wa gitakatkalu wapgu,galikaklege yijne pupokchi gajee gi wa gitakatkalu aapgu,galikaklefe yin pupokchi gqajene i wa gitakatkalu wapgu,galilkaklege yine pupiokchi gajene gi wa gitamkatkalu wapgu,galikaklege yine puppokchi gajne gi wa gitakatkalu waogu,galikaklege yine pupokchi gajene i wqa gitakagtkalu wapgu
90,galikaknige giwa jimeka rutaakatkana,galikaknige giwa jiimeka rutaakatkana,galikaknige giw jimeka rutaakatkana,galikaknige giwa jimseka rutaakatkana,galikaknige giiwa jimeka rutaakatkana,galikaknige giwa imeka rutaakqtkana
91,galikalurni rutaakoklunu wa gitaklechi,galikalurnui rutaakklunu wq gitaklechi,galikalrni rutaakklunu wa gitaklchi,alikalurni rutaakoklunu wa gitakplechi,galikalurni rutaakoklhnu aa gitakpechi,galikalurni rutaaoklunu wa gitklechi
92,galikta gonra wa gikmigi kaka rawjeta ksatu,galikta gonra wz gikmigi kaka rawjfta katu,gapikta gonra wa gikigi maka rawjeta ksatu,galikta gponra wa gikigi kaoa rawjet ksahtu,galikta gonra wa gikmigi kaka rawjeta ksau,galikta gonta wa gikmihgi kaka rawjeta ksatu
93,galnachine mane yonga,galnachine mane yonga,galnachine nmane yonga,galnacuine mane ynga,galnacgine mane onga,galnachine jane yonga
94,galpokotachimpotuko tsapi gwapanu,galpokotachimpotuko tsapi gwapanu,galpokotachimpotuko tsapoi gwalanu,galpokotachimpotuko tapi gwapanu,galpokotachimpotiko tssapi gwapanu,galpokotachimpotuko tsapi gwapqanu
95,galpokotkaluru kakwalu yantatkona pejnuruneko gannatanru kakwalu giwlatkaluru kakwaku kotajitkaluru psoluko wutakanru psoluko toshpata gwachri ga wa wugitanru,galpokotkaluru kakwalu yantatkpona pejnuruneko ganatanru kakalu gwlatkaluru kaksaku kotajitkaliuru psolukio wutakanru opsoluko toshñpata gwachrii g wa wugitanru,galpokotkaluru kakwzalu yantatkojna pejnuruneko gannatanru kakwalu giwlatkaluru kakwaku kotajitkalurru psñluko wutakanru psoluko toshpata gwachri ga wa wygitanru,galpokotkaluru kakwapu yantatkonw pejnuruneko gannatanru kakalu giwlataluru kakwqaku kotajitkaluru psoluko wutakanru psoluko toshpata gwachri gxa wa dugitanru,galpokotkaluuru kakwal yantatkona pejnurubneko gannatanrku kakwalu giwlatkaluru akwaku kotauitkaluru psoluko wutakanru psoluko tosbpata gwahri fa wa wugitanru,galpkotkaluru kakwalu yantatkoja penuruneko gannatanru kakwalu giwlatkaluru kakwaku kotajitkaluru psoluko wutakanru psoluko tshpata wachri g wa wugitanru
96,galukakachinni jimeka ga wa makna,galukakachinni jimeka ga wa makn,galukakachinni jimeka gwa ea kmakna,galumakachinni jimema ba a makna,galukakkachinni jimeka ga wa makna,galukakachinni jimeks va wwa makna
97,galukalarnige totu gigkakle poyagkakikolupa,galukalarnige totu gigkakle poyagkakikolupa,galukalarnige tot gigkaklee poyagkakiklupa,galukalarnige totu gigkwakle poyagkakikolupa,galukalarnuge totu gigkalle poyagkakikoluñpa,gapukalarnige totu ggkakle poyagkskikolupa
98,galukalnige totu gijretle poyagkakikolupa,galukalnig totu gijretle poyagkakikkolupa,galukalnige totu gijretle poyagkakiolupa,galukanige ytotu gijrele poyagkakikolupa,galukalnige otu gijretle poyagkaikolupa,galukallnige tñtu ijretle poyagkakikolula
99,galukalurge poyagkakikolupa gatjirchi giykole,galukalurrge poygkakikolupa garjirchi giykole,galukapurge poyagkakkolupa gatjirchi giykolf,gaplukalurge lpoyagkakikolupa gatjirchi giykole,galukalurge poyagkakikolupa gatjirchi giykole,galukalurge poyagkakikolupa gatjirchu giykolse
100,galukalurkaka giknogachri,galukalurkaka giknogachri,galukalurkaka giknogachri,galukalurkaka giknogacnri,galukzalurkaka giknogchri,galhukalurkaka giknogachri
101,galukalurlege gitakluji wumata gignantakinripa pnumnu gajeru pokchi,galukaludlege gitakluji wumata gignantakinripa pnmnu gajsru pokchi,galukalurlege gitakluji wumata gignantaklnripa pnumnu gajerh poochi,gaolukalurlege gitakluji wumat gignantakinripz pnumnu gajeryu pñokchi,galukalurlege itakluji wumata gignantaklnripa pnumnu gajeru pokchi,galukaurlege gitakkluji wukmata gignantkinripa pnummnu gajeru opokchi
102,galukalurlege poyagkakikolu gijretlu,galukalurlege poyagkakikolu gijretlu,galukalurlege poyagkakiolu gijretlu,galukalurlege poyagkakikolu gijretlu,galukalurlege poyagkakikolu gijretou,galukaluelege poyagkakioolu gijretlu
103,galukalurlege totu gimatkakyapyi shima gwiyawaka,galukalurlege totu gimatkakyapyi shuima gwiyawaka,galukalurlege totu gimatkakyapyi ehima gwiyawaka,galukaludlege totu vgimatkakyapyi shima gwiyawaka,galukaljrlege totu gimatkakyapyi shkima wiyawaka,gaukalurlege tpotu gimatkakyapy shijma wiyawaka
104,galukalurlege wa tsru yimakyawu,gxalukalurlege wa tsru yimakhawu,galukalurlwge wa tsdru yimakyawu,gaukalurlege wa tsru yimakyawu,galukalurlege wa tsru ylimakyawu,galukalurlege wa tsru yimakyawu
105,galukalurnige jiro yimakyawu wkamrutinripa klu chinanu,galukalurnige jiro yimakyawiu wkamruhtinripa ilu chinanu,galukalurjnige jro yimakyawu wkamrutinrripa klu chinanyu,galukalurjige jiro yimakyawu wkamrutinripa ilu chjnanu,galukalurige jiro yimakyawu wkamrutinripa klu chinan,galukalurnge jir yimakyawu wkamtrutinripa klu chianu
106,galukalurnige kashrijetikolu pimri wangixlu,galukalurnige kasbhrijetikolu pimri wangixlu,galualurnige kashrijetikolu pimri wangixlu,galukalurnige kashrijetikolu pmri wangixlu,galukalurnige kashrijetikkolu pimri wangixlu,galukalurnige kashrijetikolu pimri wagixlu
107,galukalurnige kgimatkaleru giykole jemikolupa,galukalurnige kgimatkaleru giykolre jemikolupa,galukalurnige kgimarkaleru giykole jemiklolupa,gaoukalurnige mgimatkaleru giykole jemikolupa,galukalurnige kgimatkaleru giykole kemikolupa,galukalurnige kgimatkaleru giykolle jemiolupa
108,galukalurnige poyagkakikolu gixlu waka pumretyaplu gagaje gitakanatikalurutka,galukalurnige poyagkakiolu gixlu wakq pumretyapl gatgaje gitakanatikalurutka,galukalurnige poyagakikolu ixlu wakka pumretyaplu gagaje gitakantikalurutka,galukalurnig poyagkakikolu gixl wakaa pumrwetyaplu gagaje gitakanatikalurutka,galukaliurnige poyagkakikolu gixlu waka pumretyaplk gagaie gitakanatijkalurutka,galukaluernige poyagkakikolu gixlu waka lumretyaplu ggaje gitsakanatikalurutka
109,galukalurnige poyagkakikolupa ginanshichkaluru ga wa pyimakikolu,galukalurnige poyagkakiolupa ginanshichkaluru gqa w pyimakikolu,galuklurnige poyagkakikolupa ginanshichkaluru ga wa pyimakikolu,galukalurnige poyagakikolupa ginanshichkaluru ga wa pyimakikoluu,galukqalurnige poyagkakikolupa ginanshichkalurju ga wa pyimakiolu,gapukalurnige poyagkakikolupa ginanshichkaluru g a pyimakikolu
110,galukalurnige poyagkakikolupa ginanshichkaluru ga wa pyimakikolu kakwalu putakinipa,galualurnige poyagakikolupa ginanshichkalur ga wa pykimakikolu kakwaplu putakinipa,galukalurnige poyagkakikolupa ginansichkaluru a wq pyimakikolu kakwalu putakinipa,galukalurnige opoyagkakikolupa ginashichkaluru gaa wa pyimakikolu kakwallu putakinia,galukalurnig poyagkakikolupa ginanshichkaluru gx ea pimakikolu kakealu putakinipa,galukalurnige poyagkakukolupa ginanshichkaluru ga wa pyimakikolu kakwalu putakinipa
111,galukalurnige poyagkakikolupa piinitikolu kshimagakleru pixinripa,galukalurnige poygkakikolupa piinitikolu kshimagakoleru pixinripa,glukalurnige poyagkakikolupa piinitikolu kshijmagakleru pixinripa,galukalurnige poyagkakikolupa piinitikolu kqshimagakleru pixinripa,galukalurnige poygkakikolupa piinitikolu kshimagakleru pixinripa,galukalurnige poyagkakikoluña piinitijkolu kshimagaklrru pixineripa
112,galukalurnige pyimakikolu,halukalurnige pgimakikolu,galukalurnige pyimakiklu,galhkalurnige pyimakikolu,galukalurnige pyimakikolu,galukalurnige pyimakikoolu
113,galukalurnige rixpokotyawakpotuko rixikolu pinrewlu poyoliru rixinripa,galukalurniyge rixplkotyawakpotuko riikolu pinreqwlu poyoliru rixinripa,galukalurige rixpokotyasakpotuko rixikou pinrewlu poyoliru rixinria,galukalurnige rixpokotyawakpouko rixiolu pinrewl poyoliru rixinripxa,galukalurnige ixpokotyawakpotuko rizxikolu pinrewl poyolru rixinripx,galukalunige rixpokotyawakpotuko rixikolu pinrewlu poyliru rixinripa
114,galukalurnige ruxixikolupa wa pinitkaluru,galukalurnige ruxixikolupa wa pinitkaluru,galualurnige ruxixikolupa waa pinitkaluru,gaolukalurnige ruxiikolupa w pinitkaluru,galukalurnige ruxxikolupa wa pinitkkaluru,galukalunige ruxixikolua aa pinitkalur
115,galukalurnige satu gimotsatyaplu wa tsapi koshpakachripa,galukalurnige sathu gimotsatyapl wa tsañpi koshpakachripa,galukalurnige xsatu gimootsatyaplu wa txapi koshpakahripa,galukalurnuge atu gimotsatyalplu w tsaoi koshpakacbripa,galukalkurnige sau gimotsayaplu wa sapi koshpakachripa,alukalurnige sau gimotsatyañplu wa tsapi koshpaachripa
116,galukalurnige totu gijretle wjeminri,galukalurnige totu ggijretle weminri,galukwalurnige totu gijretle wjeminri,galukalurnige otu tijretle wjeminri,galukalurnige totu gijretle wjeminri,galukalurnige totu gijrftle wjemini
117,galukalurnige totu gijretle wpoyagkakinripa,glukalurnige tou gijretld wpoyagkakinripa,galukalurnige totu gijrsetle wpoyagkakinripa,galukalurnige totu gijretle wpoyagkakiripa,galukalurige totu gijrdetle wpoyagkainripa,galukalurnige totu gijretlee wpoyagkakinripa
118,galukalurnige totu giykole wpoyagkakinripa wniikinri gitseklu kinre,galukalurnige totuu giykole wpoyagkakinipa wniikinr gitsekolu kinrr,galukalyrnige otu giykole wpoyagkakinripa wniikinfi gitseklj kinrwe,galujkalurnige totu giyjole wpoyagkakinripa wniikinri gitseklu kinre,galukalurnige totu hiykole wpoyagkakinripa wniikoinri gitseklu kinre,galukalurnig totu giykole wpoyagkakinropa wniikinri gitseklu kinrr
119,galukalurnige totu yimakyawu,galukalurniye totk yimakywu,glukalurnige totu yimakyaw,galukalurnige totu yimakyawu,galukalurnige tot yimakyawu,galkalurnige gotu yimakyau
120,galukalurnige tsrune gijretle wpoyagkakinri,galukalurnige tsrune gijretle wpoyagkakinri,galukalurnige trune gijrtle wpoyagkakinri,galulalurnige tsrune gijgretle wpoyagkakinri,galukalurnige tsruhe glijretle wpoyqgkakinri,galukalurnibge tsrune tgijretle wpoyagkakinri
121,galukalurnige tsrune yimakle waka gijretle wpoyagkakinripa,galukalkrnige twrune yiakle waka giuretle wpoyagkakinripa,galuklurnige tsrne yimale waka gijretle wpotagkakinripa,galukalurniyge tsrune yimakle wka gijretl wpoyagkakonripa,galukalurnige srune yimakle waka gijretle wpoyagkakinripa,yalukalurnige tsrune imakle waka gijretle woyagkakinripa
122,galukalurnige wane wixjetyaplu,galukaolurnige sane wixjetyaplu,galukalurnige wan wixjetyaplu,galukalurnige wae wixjetyaplu,galukalurnige wane wixjetyaplu,galukalurmnige wane wixjetyaplu
123,galukalurnige watye kamrurchikaka,galukalurnige atye kamrurchikaka,galukalurnige watye kamrurxhikaka,galukaolurnige watye kamrurchikaka,vgalukalurnige wattye kamrurchikaka,galukalurnige watye kamrurchikaka
124,galukalurni gitaklechi wuwekinri chinanu,galukalurni gtaklechi wuwekinrk chianu,galukslurni gitaklechi wuwekinri chibnanu,galukalurni gitzklechi wuwekinri chinanu,galukaourni gitaklwchi wuwekinrl chinanu,hgalukalurni gitaklechi wuwekinri chinanu
125,galukalurni gi wa wamtakyaplu chaluglu,galuukalurni gi w wamtakyaplu haluglu,alukalurni gi wsa wamtakyalu chalhglu,fgalukalurni g wa wamtzkyaplu chaluglu,galjukalurni bgi a wamtakyaplu chxaluglu,galukalurbi g wa wamtakyaplu caluglu
126,galukalurni gi wa wamtakyaplu chalu pinitiklupa,gaplukalurni gli w wakmtakyaplu chalu pinitiklupa,galukalurni gi wa wamtakyaplu chalu pinitiklup,galukalurni gji wa wamtakyaplk chalu piitiklupa,galukalugrni gi wa wamtakyaplu chalu pinitikupa,galukalurni gl wa wamtakyapou chalu pinitiklupa
127,galukalurni gi wa wamtakyaplu chalu pinitikolupa,yalukalurni gi wa wamttakyaplu chalu pijnitikolupa,galukalurni gi a wamtakyaplu chalu pinitikolupa,galukalurni gi wa wamtakyaplu calu pinitikolupa,alukalurni hgi w wamtakyaplu chalu pinitikoluñpa,galukalutrni gi w wamtakyaplu xhalu initikolupa
128,galukalurni gi wa wumtukyaplu chaluglu,galukalurnoi fi dwa wumtukyyaplu chalglu,galukalurni gi ww wumtukyaplhu chalugu,galukalurni gi wa wumtkyaplu chauglu,galukqlurni gi a wumtukysaplu chalugly,galukalurni g wa wumgukyaplu vhaluglu
129,galukalurni puglepokotyaplu,galukalurni puglepokotyaplu,galkalurni puglepokotysplu,tgalukalurni pglepokotyaplu,galukalurni puglepokotyapolu,galukalurni puglepokotyaplu
130,galukalurni retikolu gitaklu gwiyawaka gi rixanu walenwa kigle wakchiji,galukalurni retiklu gitaklu hwiyawaka goi rixxanu walenwa kgle wakchiji,galukalurni retikoolu gitaklu gwiyawaia gi rixanu walendwa kigle wakchiji,galukalurni retiklu gitaklu gwjiyawaka g rixanu walenwa kible wakchiji,alukalurni retikolu tgitaklu gwiyawaka hgi rixanu walenwa kigle wakchiji,galukslurni retikou gitakluu gwiywaka ti rixanu walenwa kigle wakchiji
131,galukalurni rumatikolupa girixpoko gimretarjetluna pimrine wumwastsitanune,galuklurni rumatikolpa girixpñko gijmretarjetluna pimrine wumwastsitanune,galukalurni rumatikolupa girixpoko gimretarjetlunw pimrine wumwastsitanune,galukalurni rumztikolupa girixpokko giretarjetluna imrine wumwastsitanune,galukalurni rumatikoupa girixpoko gimretarjetluna pimrne wumwawstsitanune,galukalurni rumaikolupa girixpoko gimretarjetluma pimrine wumwastsitanune
132,galukalurni rustakikolu gosha,galukalurni rustakikolu gosha,galkukalurni rustakikolu glsha,galukalurni rustakikolu gosha,galukaluni rustakikolu tgosha,galukalurni rustakikolu gosuha
133,galukalurni wjemyapna wujretjene psoluko ginanshichkaluru wa gitaklewlu jimeka chinanu,galukalurni wjemyapna wujfetjene psopluko ginanshichkaluru wa gitaklewolu jimfeka chinahu,galukalurni wjemyapna wujrtjene psoluko ginashichkaluru w gitaklewlu jimeka chinanu,galukapurni wjemapna wujretjene psouko ginanshichkaluru wa gitakewlu jimeka chinanu,galukalurni wjemysapna wujretjfene psolko ginanshichkaluru wa gitaklewlu jimeka chinanu,glukalurni wjemyapa wujretjene psoluko ginanshichkaluru wa gitaklewlu jimeka chinxnu
134,galukalurni wumatyaplu jimekane gapu pnumnu gixachri,galukalurni wumatgyaplu jimekqane gapu pnumnu gixachi,galualurni wumatyaplu jimekwne gapu pnumnu gixachrii,galukalurni wumatyaplu jimekan gapu pnumnu gixacuri,galuklurni umatyaplu jimekane galu pnumnu gixacyhri,galukalurrni wumatyaplu jimemkane gapu pnumnu gixchri
135,galukalurni wumatyaplu wtokanu gii wamtakyaplu wmawupatewatyaplu wane china wkamrutjeru tokanu,gaukalurni wumatyaplu wtokanu glii wamtakyaplu wmawupatewatyaplu wane chia wkamrutjeru tookanu,galukalurni wumatyaplu wtkanu gii wamtakyaplu wawupatewatyaplu wabe china wkamrutjeru tokanu,galukalurni awumatyaplu wtokanu gii wamtakyaplu wmawupatewatyaplu dane chjna wlamrutjeru tokau,galukalurni wumatyaplu awtokanu ii wamtakyaplu wmawupatewatyaplu wane china wkamrutjeru tokanu,galukalurni wumatyaplu wtokanu gii wamtakyalu wmawupatewataplu wanw china wkamrutjeru tokanu
136,galukalurni wumatyaplu wtokanu gi wamtakyaplu wmawupatewatyaplu wane china wkamrutjeru tokanu,galukalurni wumatyapu wtokanu gk wamtakyaplu wmawupatewatyaplu wane china wkamrutjeru tokanu,galuikalurni wumatgyaplu wtokanu fgi wqmtakyaplu wmawupatewtyaplu wane chlina kamrutjeru toikanu,alukalurni wumatyaplk wtokanu g wamtakuaplu wmawupatewatyaplu wans china wkamrutjeru tokanu,galukalurni wumatyaplu wtokanu bi wamtakyaplu wmawupatewatyaplu wane cina wkamrutjeru tokanh,gallukalurni wumatyaoplu wtokwnu gi wamtakyaplu wmawupateatyaplu wane vhina wkamrutjeru tokanu
137,galukalurpotni tapatjetikolu tumkata gitakikolupa,galukalurpotni tapatjetikolu tumkata gitakikoplupa,galukaludpotni tapatjetikopu tumkata gitajkikolupa,galukalurptni tapatjetikolju tukata gitakikolupa,galukalurpotni tapatjetikolu tumkata gitakikolupa,galualurpotni tañatjetikolu tunmkata giakikolupa
138,galukalurpotni walixkotyaplu wnikanru,galukalurpotni walixkotyaplu wniknru,galuikalurpotni walixkotyaplu awnikanru,galukaourpotni walidkotyaplu wnikanru,galukalurpotni walixkotyapu wnikaru,galukalurpotni walixkotyaplu wnikanru
139,galukalurpotni wgirukotyaplu wjeminri,galukalurotni girukotyaplu wjeminri,galuklurpotni wgirukotyaplu djeminri,galukalurpotni wgirukotyaplu djeminri,galukalurpotnii wgirukotyapplu wjeminri,galuklurpotni wgirukotyaplu wjeminri
140,galukalurpotni wnikinripa wumane chinanu,alukalurpotni wnikinripa umane chinwnu,galukzlurpotni wnikinripa wumane chinanu,gapukalurpotni wnikinfipa dumane chinabnu,galukalurpoti wnikinrpa wumane chinahnu,galukalurpotni wnikinrip wujmane chinanu
141,galukalurpotni wnikinripa wumane chinanupa,galukalurpotni wnikoinripa wumane chinanupa,galukalugpotni wnikineipa whmane chinanula,galukalurpotni wniiinripa wukmane chinanupa,galukalurpotni wnikinrripa wumane chjinanupa,galukaourpotni wnikinripa wumane chinanup
142,galukarurpotu rixinri saxpalulkaka ga wa rupxakwu yimaklewatachro kamrutanrupa,galukarurpotu rixinri saxplulkaka va ws rupxakwu yimaklewatahro kamrutanrupa,galukarrpotu rixinri saxpalulaka ga qa rupxakwu yimaklewstachro kamrutwanrupa,galukaruropotu rixinri saxpalulkaka ga wa dupxakwu yimaklewatachro kamrutanrupa,galukarurpotu riximnri saxpalulkaka ga qa ruppxakwu yimaklewatachro kamrutanrupa,galukrurpotu rixibri saxplulkaka ga wa rupxakwu yimaklewatachro kamrutahrupa
143,galuklewatachinepwu pgujetanu plajipwu yiglepotuko wkagwakanru rugkakyapwu,galuklewatachinepwu pgujetanu plajipwi yiglepotuko wkagwwkanru rugkakypwu,galuklewatachinepwu pghjetanu plajilwu yiglepotuko wkagwakanru rugkakyapwu,galuklewatachinepwu pgujetanu plwjipwu hyiglepotuko wkagwakanu rugkakyapwu,aluklewatachinepwu pgujetanu planjipwu yglepotuko kagwakanru rugkakyapwu,galyuklewatachinepwu pgujetanu plajipwu yiglepotuko wkagwakanru rugkakyapwu
144,galuklewatanu kigle plajirunepgi mshiretkatupni,galuklewatanu kigle plajirunepgi mshiretkatupni,galuklewatanu kigle plajirunepgi mshiretkatupni,gauklewatanu kiglle plajirunepgi mshiretkatupni,galuklewatanu kigle plajiruunepgi mshiretkatupni,gauklewatanu kigle plajirunepgi mshiretkatupni
145,galuklo kiruka tshicho tutaklo koshma mama tshicho chinanu,tgaluklo kiruka tshcho tutakl kshma mama tshicho chinanu,galumklo lkiruka tshich tutaklo koshja mama txhicho chinanu,galuklo kiruka gtshicho tutaklo koshma mamz tshicho chinanu,gapluklo kiruka tshicho tuhaklo koqhma mana tshiccho chinwanu,gqaluklo kirika tsyicho tutakplo koahma mama tshicho cyinanu
146,galukta gimnu getkoklunchi saplewatka,gaukta gimn gegtkoklunchi sapleatka,galukta gimnu getkoklunchi sapewatka,galukta gimnu getkoklunchi saplewatkq,galuktq gjimnu fgetkoklunchi saplewatka,alukta gimnu gertkoklunchi saplewatka
147,galwerto kashichlu wpamoleteyma waleyma rekakgitlu,galwerto kashichlu wpamopeteyma waleyma rekkgitlu,galwerto oashichlu wpamoleteyma qaleyma rekakgilu,gawerto kxshichlu wpamoleteyma waleyjma rekakgitlu,galwerto kashichlu wpamoletfyma waleyma fekakgitlu,galwero kashchlu wpamoleteyma waleyma rekakgitlu
148,gamjiru putsotu gitni satu gitnerewatachrino seyni gi wa katalo yochpikachrino gi koxa motorone nyagkaka gitokga nwa,gamjirhu putsou gitni satu gitnerewatachrino seyn gi wa katalo yochpikachrino goi kixa motorome ntagkaka gitokga nwa,gamjiru utsotu gitni stu gitneewatachrino sfeyni gi a atalo yochñpikachrino gki koxa motorlone nyagkaka gitiokga nwa,gamjiru putsotu gitn satu ginerewatachrino seyni gj wza katalo yochpikachrno gji koxa mogtorone nuyagkaka gitikga nwa,gamjiru putsotu gitni stu itnerewatachrino setyni bgi w katalpo yochpikachrino gi koxa motoroe nyagkaka gitokga nwa,amjiru putsñtu gitni atu gitnrrewatachrino seyni gi da katsalo yochpikachrino g koxa motorone nyagmkaka gitkga nwa
149,gampo gishagkalu pamyo mturu pchogkaka tsapi wanepnute rushagkalu gepi pchogi tsru,gampo gishagkalu pamyo mturu pchogkaka tsqpi wabepnute rushagkalu gepi pchogi tsru,gampo gizshagkalu pamyo mturu pchogkka tsapi wajnepnute frushagkalu gepi pchogi htsru,gampo gkshagkalu pamhyo mturu pchlogkaka tsapi waneopnute rushagkaalu gepi ñchogi tdsru,gajpo gishagkalu pamo mturku pchogkaka tsapi wanepnute rushagialu gepji phogi tsru,gampo gishagkalu amyo turu pchogkak gsapi waepnute rushagkalu gepk pchogi tsru
150,gampo waneya pamole gepi proji ga wa mawro waneya patsrujire proji,gamppo waney pamol ggepi peoji yga wa mawro waneya patsrujore projji,gampo waneya panole bepi proji ga wq mawro waneya patrujire proji,gampo wanwya pakmole gepoi proki gw wa mawro waneya patsrujire proui,gmpo waneya pamole gepi projj gga da jawro wanea patsrujifre lproji,gampoo saneya pamople gei poji ga wa mawro waneya patsrujire roji
151,gana ga wa nora gepi pixkalutu niikaluru ruwlatna ga wa rushagkaluna psoluko chinyawaka giswaji gomkagitachri,ganqa fga wwa norx vgepi puxkalutu niikluru ruwlana gqa wa ruxhagkaluna psoluko chinyawaka gisaji gomkaitachri,gana g wa nora gdpi pkxkalutu niikaluru ruwlatna ga ww rushafgkaluna psoluko chinyawaka giswaji gomkagitachri,gzana ga wza nora gepi pixkalutu niikaluru ruwlatna g wa rushagkaluna psoluko chinyawaka gliswaji gomkagitachri,gana ga wa nora gepi pixkalutu niikaluru ruwlatna ha wa rushagkaouna psoluko chinyawaka giswaji gokagitachri,gana gwa w nora gpi pixkalutu nikaluru ruwlatna ga wa rjshagkaluna pqsoluko chihyawaka gjiswaji gomkagitachri
152,gana ga wa rowerto waneyna pnumnu gixachine pachine wgenene gipranna,gaa ga wxa rowerto qwaneyna pnumnu guxachine pachine dwgenene gipranna,gana ga wa rowerto waneyna pnumnu gixachine pachine wgenene gipranna,ana g wa rowerrto waneyna pnumnu gixachin pachine wgenene gipramna,ana ga wwa rwerto wneyna pnumnu gixachine pachine wgenene gipranna,gsna ta awa rowferto daneyna pnumju gixachine pachine wgeneme gpranna
153,gana ga wa yompi yenewata yogwajitkaluruyma,vgana gxa wq yompi yenewata yogwajitkaluruyma,gwana ga wa yompi yenewata yogwajitkaluuyma,gana ga wa ykompi gyenewata yogwajitkaluruyma,gana ga wwa yompi yennewata yogwajikaluruyma,gana ga wa yomopi yeewata yogwajitkaluruymq
154,gana gimatlu gipapko giklu rumkata jirgakota kakwalu tyanumatinitka jirgakota kakwalu tyanumatinitka jixolupi pupji ginapleya kakwalu jirgakotka jixolupi pupji ginapleya kakwalu jirgakotka girixanu tugkaklewatatka gipapkotkani,gana gimatlu gipapko giklu rumkata jirgakota mkakwalu tyanumqatinitka jirgqkota kqkwalu tyanumatinitka jlixolupi upji ginappleya kakwalu ujirgakotka iixolupi pupji ginaplya kawalu jirgakotka girixanu tugoaklewatatka gipapkotkani,gna gimatlu gipapko gikplu rumkata jirgakota kakwxalu tyanumatinitka jirgakota kakwalu tyanumatinitka jixolupi pulji ginapleya kaowalu jirygakotka jixolupi pupjii ginapleyqa kakwxalu jirgakotka girixanu tugkaklewatwtka gipapkotkani,gama gimmatlu gipapko giklu rumkata jirgakñota kakwapu tyanumatinitka jirgakota jkakwalu tyanumatinitka jixolupi pupji ginzapleya kakwalu jirgakotka jixolupi pupi ginaleya kakwalu jiryakotka girixanu tugkaklewatafka gipañpkotkani,gans gimatlu gipwpko giklu rumkata jirtgakota kakwlu tyanumatinitka joirgakota kakwalu tyanumatinitka jixkolupi pupji ginapleyza kakwalu jirgakotka jixlupi pupii hinapleya kakwqlu jirgakoytka girixanu tukaklewatatka gipspkotkani,gna gimatli goipapko gklu rumkata jirgalkota kakwalu tyaumatinitka jirgakta kakwalu tyanumatinitk jixolupi puppji ginapleya akwalu jirgwkotka jixolupi pupi gnapleya kakdwalu jirgakotka girixanu tugkaklewatatka gipakotkani
155,gana molene waneyna pamole yokgipi gaxawripane ga wa sonya molene ganikaji waneya gana molene pnute gi pejnu gaxawripane waneyna sonya molene,gana molee wneyna pamole yokgipi gaxswripane ga wa sñnya molene ganikaji waneeya ganx molene pnute gi pejnu fgaxawripane waneyna snya molfene,gana molene wneyna psamole yokgipi gaxawripanr vga w sonya molene gankaji wanya gana molene pjnute gi pejhu gaxawripane waneyna sonya molene,gama molene waneynza pamole ykgipi gaxawipane bga swa sonya molene ganikaji waneya gzna moene pnute ti pejn gaxawripane wansyna sony molene,gna mlene waneyna pamole yokgipui gaxawripane ga da sonya molene gganikaji waneya gana molene pnute gui peju gaxawripane waneyna onya molene,gana molen waneyna pakmole yokgipi gaxawripanre ga wa sonya molene gajikaji waneya gana molene ñnute gi pejniu gaxawripane waneyn sonnya moleene
